NPB選手ID,id,選手,名前(フリガナ),ロングリスト,所属部門,team_id,team,pos1,pos2,pos3,投,打,身長,体重,年齢,生年月日,編成,選手登録状態,英語表示名,real_name_in_english,NPB選手ID,背番号,背番号#,teamEN,nameTM
71375132,1002823961,石橋　良太,イシバシ　リョウタ,プロ(楽天),楽天,210606393,楽天,投手,先発,中継ぎ,右,左,175,77,30,1991/06/06,支配下,2軍,Ryota Ishibashi,Ryota Ishibashi,71375132,60,#60,TOH_GOL,71375132
91795114,1073217173,岸　孝之,キシ　タカユキ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,右,180,77,37,1984/12/04,支配下,2軍,Takayuki Kishi,Takayuki Kishi,91795114,11,#11,TOH_GOL,91795114
31635110,1073217180,涌井　秀章,ワクイ　ヒデアキ,プロ(楽天),楽天,210606393,楽天,投手,先発,中継ぎ,右,右,185,85,35,1986/06/21,支配下,2軍,Hideaki Wakui,Hideaki Wakui,31635110,16,#16,TOH_GOL,31635110
51155118,1073217193,浅村　栄斗,アサムラ　ヒデト,プロ(楽天),楽天,210606393,楽天,内野手,二塁手,一塁手,右,右,182,90,31,1990/11/12,支配下,2軍,Hideto Asamura,Hideto Asamura,51155118,3,#3,TOH_GOL,51155118
51555135,1073217300,釜元　豪,カマモト　ゴウ,プロ(楽天),楽天,210606393,楽天,外野手,右翼手,左翼手,右,左,180,81,28,1993/09/03,育成,2軍,Go Kamamoto,Go Kamamoto,51555135,122,#122,TOH_GOL,51555135
21225133,1073217412,西川　遥輝,ニシカワ　ハルキ,プロ(楽天),楽天,210606393,楽天,外野手,中堅手,なし,右,左,181,79,29,1992/04/16,支配下,2軍,Haruki Nishikawa,Haruki Nishikawa,21225133,6,#6,TOH_GOL,21225133
31435133,1073217540,福井　優也,フクイ　ユウヤ,プロ(楽天),楽天,210606393,楽天,投手,先発,中継ぎ,右,右,178,85,34,1988/02/08,支配下,2軍,Yuya Fukui,Yuya Fukui,31435133,31,#31,TOH_GOL,31435133
81585112,1073217609,川島　慶三,カワシマ　ケイゾウ,プロ(楽天),楽天,210606393,楽天,内野手,二塁手,一塁手,右,右,171,74,38,1983/10/05,支配下,2軍,Keizo Kawashima,Keizo Kawashima,81585112,22,#22,TOH_GOL,81585112
11215114,1073217701,田中　将大,タナカ　マサヒロ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,右,188,97,33,1988/11/01,支配下,2軍,Masahiro Tanaka,Masahiro Tanaka,11215114,18,#18,TOH_GOL,11215114
81985135,1073217788,鈴木　大地,スズキ　ダイチ,プロ(楽天),楽天,210606393,楽天,内野手,三塁手,一塁手,右,左,175,79,32,1989/08/18,支配下,2軍,Daichi Suzuki,Daichi Suzuki,81985135,7,#7,TOH_GOL,81985135
61665139,1073221725,和田　恋,ワダ　レン,プロ(楽天),楽天,210606393,楽天,外野手,右翼手,一塁手,右,右,180,93,26,1995/09/26,支配下,2軍,Ren Wada,Ren Wada,61665139,54,#54,TOH_GOL,61665139
73375136,1073223764,渡邊　佑樹,ワタナベ　ユウキ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,先発,左,左,183,85,26,1995/11/08,支配下,2軍,Yuki Watanabe,Yuki Watanabe,73375136,79,#79,TOH_GOL,73375136
93195134,1073223827,森原　康平,モリハラ　コウヘイ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,左,185,88,30,1991/12/26,支配下,2軍,Kohei Morihara,Kohei Morihara,93195134,13,#13,TOH_GOL,93195134
61865132,1073223889,茂木　栄五郎,モギ　エイゴロウ,プロ(楽天),楽天,210606393,楽天,内野手,三塁手,遊撃手,右,左,171,75,28,1994/02/14,支配下,2軍,Eigoro Mogi,Eigoro Mogi,61865132,5,#5,TOH_GOL,61865132
73175138,1073224285,渡邊　佳明,ワタナベ　ヨシアキ,プロ(楽天),楽天,210606393,楽天,内野手,二塁手,三塁手,右,左,180,79,25,1997/01/08,支配下,2軍,Yoshiaki Watanabe,Yoshiaki Watanabe,73175138,48,#48,TOH_GOL,73175138
33335132,1073224865,吉持　亮汰,ヨシモチ　リョウタ,プロ(楽天),楽天,210606393,楽天,内野手,遊撃手,中堅手,右,右,175,68,28,1993/11/04,育成,2軍,Ryota Yoshimochi,Ryota Yoshimochi,33335132,8,#008,TOH_GOL,33335132
61765134,1073225004,酒居　知史,サカイ　トモヒト,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,右,178,80,29,1993/01/02,支配下,2軍,Tomohito Sakai,Tomohito Sakai,61765134,28,#28,TOH_GOL,61765134
71875153,1073225627,藤井　聖,フジイ　マサル,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,左,左,176,80,25,1996/10/03,支配下,2軍,Masaru Fujii,Masaru Fujii,71875153,47,#47,TOH_GOL,71875153
11815132,1073225923,堀内　謙伍,ホリウチ　ケンゴ,プロ(楽天),楽天,210606393,楽天,捕手,捕手,なし,右,左,174,82,24,1997/04/15,支配下,2軍,Kengo Horiuchi,Kengo Horiuchi,11815132,65,#65,TOH_GOL,11815132
41445134,1073225953,西口　直人,ニシグチ　ナオト,プロ(楽天),楽天,210606393,楽天,投手,先発,中継ぎ,右,右,183,83,25,1996/11/14,支配下,2軍,Naoto Nishiguchi,Naoto Nishiguchi,41445134,62,#62,TOH_GOL,41445134
23525155,1073226322,吉川　雄大,ヨシカワ　カズキ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,右,167,80,25,1996/12/12,支配下,2軍,Kazuki Yoshikawa,Kazuki Yoshikawa,23525155,71,#71,TOH_GOL,23525155
71375138,1073226350,太田　光,オオタ　ヒカル,プロ(楽天),楽天,210606393,楽天,捕手,捕手,なし,右,右,178,76,25,1996/10/14,支配下,2軍,Hikaru Ota,Hikaru Ota,71375138,2,#2,TOH_GOL,71375138
71075134,1073227669,髙田　萌生,タカタ　ホウセイ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,右,178,83,23,1998/07/04,支配下,2軍,Hosei Takata,Hosei Takata,71075134,53,#53,TOH_GOL,71075134
1505132,1073228414,オコエ　瑠偉,オコエ　ルイ,プロ(楽天),楽天,210606393,楽天,外野手,中堅手,右翼手,右,右,185,90,24,1997/07/21,支配下,2軍,Louis Okoye,Louis Okoye,1505132,4,#4,TOH_GOL,1505132
31835153,1073228991,早川　隆久,ハヤカワ　タカヒサ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,左,左,180,76,23,1998/07/06,支配下,2軍,Takahisa Hayakawa,Takahisa Hayakawa,31835153,21,#21,TOH_GOL,31835153
41845132,1073229622,村林　一輝,ムラバヤシ　イツキ,プロ(楽天),楽天,210606393,楽天,内野手,遊撃手,二塁手,右,右,180,73,24,1997/10/06,支配下,2軍,Itsuki Murabayashi,Itsuki Murabayashi,41845132,66,#66,TOH_GOL,41845132
73575132,1073229670,宋　家豪,ソン　チャーホウ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,左,185,92,29,1992/09/06,支配下,2軍,Chia Hao Sung,Chia Hao Sung,73575132,43,#43,TOH_GOL,73575132
73175136,1073229890,山﨑　剛,ヤマサキ　ツヨシ,プロ(楽天),楽天,210606393,楽天,内野手,二塁手,中堅手,右,左,173,74,26,1995/12/29,支配下,2軍,Tsuyoshi Yamasaki,Tsuyoshi Yamasaki,73175136,34,#34,TOH_GOL,73175136
61165134,1073229991,石原　彪,イシハラ　ツヨシ,プロ(楽天),楽天,210606393,楽天,捕手,捕手,一塁手,右,右,172,96,23,1999/03/08,支配下,2軍,Tsuyoshi Ishihara,Tsuyoshi Ishihara,61165134,70,#70,TOH_GOL,61165134
51355136,1073230292,岩見　政暉,イワミ　マサキ,プロ(楽天),楽天,210606393,楽天,外野手,一塁手,左翼手,右,右,187,108,27,1994/07/10,支配下,2軍,Masaki Iwami,Masaki Iwami,51355136,38,#38,TOH_GOL,51355136
11015138,1073230370,辰己　涼介,タツミ　リョウスケ,プロ(楽天),楽天,210606393,楽天,外野手,中堅手,右翼手,右,左,180,74,25,1996/12/27,支配下,2軍,Ryosuke Tatsumi,Ryosuke Tatsumi,11015138,8,#8,TOH_GOL,11015138
11215134,1073230512,田中　和基,タナカ　カズキ,プロ(楽天),楽天,210606393,楽天,外野手,中堅手,右翼手,右,両,181,75,27,1994/08/08,支配下,2軍,Kazuki Tanaka,Kazuki Tanaka,11215134,25,#25,TOH_GOL,11215134
61665134,1073230677,藤平　尚真,フジヒラ　ショウマ,プロ(楽天),楽天,210606393,楽天,投手,先発,中継ぎ,右,右,185,85,23,1998/09/21,支配下,2軍,Shoma Fujihira,Shoma Fujihira,61665134,46,#46,TOH_GOL,61665134
1205153,1073230678,高田　孝一,タカダ　コウイチ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,先発,右,右,183,91,23,1998/06/03,支配下,2軍,Koichi Takada,Koichi Takada,1205153,29,#29,TOH_GOL,1205153
71575153,1073230887,内間　拓馬,ウチマ　タクマ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,右,179,86,23,1998/11/21,支配下,2軍,Takuma Uchima,Takuma Uchima,71575153,40,#40,TOH_GOL,71575153
71275136,1073232062,寺岡　寛治,テラオカ　カンジ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,右,180,89,29,1992/12/03,支配下,2軍,Kanji Teraoka,Kanji Teraoka,71275136,68,#68,TOH_GOL,71275136
1905138,1073232483,鈴木　翔天,スズキ　ソラ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,左,左,185,82,25,1996/08/19,支配下,2軍,Sora Suzuki,Sora Suzuki,1905138,56,#56,TOH_GOL,1905138
61465155,1073232987,西垣　雅矢,ニシガキ　マサヤ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,左,184,88,22,1999/06/21,支配下,2軍,Masaya Nishigaki,Masaya Nishigaki,61465155,49,#49,TOH_GOL,61465155
61965151,1073233428,小深田　大翔,コブカタ　ヒロト,プロ(楽天),楽天,210606393,楽天,内野手,遊撃手,二塁手,右,左,168,69,26,1995/09/28,支配下,2軍,Hiroto Kobukata,Hiroto Kobukata,61965151,0,#0,TOH_GOL,61965151
41445138,1073233621,引地　秀一郎,ヒキジ　シュウイチロウ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,右,188,84,21,2000/06/03,育成,2軍,Shuichiro Hikiji,Shuichiro Hikiji,41445138,4,#004,TOH_GOL,41445138
1905151,1073234055,黒川　史陽,クロカワ　フミヤ,プロ(楽天),楽天,210606393,楽天,内野手,二塁手,三塁手,右,左,182,86,20,2001/04/17,支配下,2軍,Fumiya Kurokawa,Fumiya Kurokawa,1905151,24,#24,TOH_GOL,1905151
3305138,1073234590,ブセニッツ,アラン　ブセニッツ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,右,185,81,31,1990/08/22,支配下,2軍,Alan Busenitz,Alan Busenitz,3305138,32,#32,TOH_GOL,3305138
61765138,1073235152,佐藤　智輝,サトウ　トモキ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,なし,左,左,183,80,21,2000/06/05,育成,2軍,Tomoki Sato,Tomoki Sato,61765138,1,#001,TOH_GOL,61765138
61865138,1073235256,弓削　隼人,ユゲ　ハヤト,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,左,左,193,105,27,1994/04/06,支配下,2軍,Hayato Yuge,Hayato Yuge,61865138,23,#23,TOH_GOL,61865138
43745138,1073235807,王　彦程,ワン・イェンチェン,プロ(楽天),楽天,210606393,楽天,投手,先発,中継ぎ,左,左,180,82,21,2001/02/14,育成,2軍,Yan Cheng Wang,Wang Yan Cheng,43745138,17,#017,TOH_GOL,43745138
81985151,1073236129,小峯　新陸,コミネ　シンリ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,左,189,90,20,2001/12/01,支配下,2軍,Shinri Komine,Shinri Komine,81985151,30,#30,TOH_GOL,81985151
21025151,1073236207,澤野　聖悠,サワノ　キヨハル,プロ(楽天),楽天,210606393,楽天,内野手,遊撃手,なし,右,左,184,85,20,2002/03/09,育成,2軍,Kiyoharu Sawano,Kiyoharu Sawano,21025151,141,#141,TOH_GOL,21025151
71675151,1073236271,福森　耀真,フクモリ　ヨウマ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,右,178,87,24,1997/09/27,育成,2軍,Yoma Fukumori,Yoma Fukumori,71675151,7,#007,TOH_GOL,71675151
93195151,1073236445,マーキ,ヤマザキ　マアキ,プロ(楽天),楽天,210606393,楽天,内野手,遊撃手,なし,右,左,182,84,26,1995/09/26,育成,2軍,Maaki Yamazaki,Maaki Yamazaki,93195151,140,#140,TOH_GOL,93195151
11415151,1073236515,津留﨑　大成,ツルサキ　タイセイ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,右,177,86,24,1997/10/10,支配下,2軍,Taisei Tsurusaki,Taisei Tsurusaki,11415151,52,#52,TOH_GOL,11415151
1805151,1073236555,武藤　敦貴,ムトウ　アツキ,プロ(楽天),楽天,210606393,楽天,外野手,中堅手,なし,左,左,178,73,20,2001/06/15,支配下,2軍,Atsuki Muto,Atsuki Muto,1805151,50,#50,TOH_GOL,1805151
31535151,1073236557,江川　侑斗,エガワ　ユウト,プロ(楽天),楽天,210606393,楽天,捕手,捕手,なし,右,右,177,81,20,2001/06/29,育成,2軍,Yuto Egawa,Yuto Egawa,31535151,137,#137,TOH_GOL,31535151
31835151,1073236944,水上　桂,ミズカミ　ケイ,プロ(楽天),楽天,210606393,楽天,捕手,捕手,なし,右,右,172,75,20,2001/07/05,支配下,2軍,Kei Mizukami,Kei Mizukami,31835151,78,#78,TOH_GOL,31835151
41345153,1073237097,入江　大樹,イリエ　ダイキ,プロ(楽天),楽天,210606393,楽天,内野手,遊撃手,中堅手,右,右,185,83,19,2002/06/06,支配下,2軍,Daiki Irie,Daiki Irie,41345153,63,#63,TOH_GOL,41345153
43545155,1073237251,吉野　創士,ヨシノ　ソウシ,プロ(楽天),楽天,210606393,楽天,外野手,中堅手,三塁手,右,右,186,78,18,2003/10/27,支配下,2軍,Soshi Yoshino,Soshi Yoshino,43545155,9,#9,TOH_GOL,43545155
43345155,1073237300,安田　悠馬,ヤスダ　ユウマ,プロ(楽天),楽天,210606393,楽天,捕手,捕手,なし,右,左,185,105,22,2000/03/03,支配下,2軍,Yuma Yasuda,Yuma Yasuda,43345155,55,#55,TOH_GOL,43345155
51555153,1073237340,内　星龍,ウチ　セイリュウ,プロ(楽天),楽天,210606393,楽天,投手,先発,,右,左,190,88,19,2002/04/24,支配下,2軍,Seiryu Uchi,Seiryu Uchi,51555153,69,#69,TOH_GOL,51555153
53255155,1073237507,マルモレホス,ホセ　マルモレホス,プロ(楽天),楽天,210606393,楽天,外野手,右翼手,一塁手,左,左,188,108,29,1993/01/02,支配下,2軍,Jose Marmolejos,Jose Marmolejos,53255155,12,#12,TOH_GOL,53255155
81185153,1073237527,石田　駿,イシダ　シュン,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,なし,右,右,180,74,24,1997/05/27,育成,2軍,Shun Ishida,Shun Ishida,81185153,152,#152,TOH_GOL,81185153
13315155,1073237684,宮森　智志,ミヤモリ　サトシ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,右,193,93,23,1998/05/28,育成,2軍,Satoshi Miyamori,Satoshi Miyamori,13315155,130,#130,TOH_GOL,13315155
13115155,1073237952,松井　友飛,マツイ　トモタカ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,右,190,87,22,1999/10/11,支配下,2軍,Tomotaka Matsui,Tomotaka Matsui,13115155,45,#45,TOH_GOL,13115155
61865155,1073238039,前田　銀治,マエダ　ギンジ,プロ(楽天),楽天,210606393,楽天,外野手,中堅手,なし,右,右,182,98,18,2003/11/19,支配下,2軍,Ginji Maeda,Ginji Maeda,61865155,36,#36,TOH_GOL,61865155
33935155,1073238111,ギッテンス,クリス・ギッテンス,プロ(楽天),楽天,210606393,楽天,内野手,一塁手,指名打者,右,右,193,113,28,1994/02/04,支配下,2軍,Chris Gittens,Chris Gittens,33935155,42,#42,TOH_GOL,33935155
83385155,1073238161,柳澤　大空,ヤナギサワ　オオゾラ,プロ(楽天),楽天,210606393,楽天,外野手,右翼手,なし,右,右,182,78,18,2003/05/31,育成,2軍,Ozora Yanagisawa,Ozora Yanagisawa,83385155,142,#142,TOH_GOL,83385155
91395155,1073238264,大河原　翔,オオカワラ　ショウ,プロ(楽天),楽天,210606393,楽天,外野手,左翼手,なし,右,右,183,95,18,2003/08/17,育成,2軍,Sho Okawara,Sho Okawara,91395155,144,#144,TOH_GOL,91395155
63065155,1073227529,ポランコ,グレゴリー　ポランコ,プロ(他球団),他球団,1007859055,巨人,外野手,右翼手,なし,左,左,196,108,30,1991/09/14,支配下,2軍,Gregory Polanco,Gregory Polanco,63065155,23,#23,YOM_GIA,63065155
93095155,1073231045,ビドル,ジェシー　ビドル,プロ(他球団),他球団,473072806,オリックス,投手,中継ぎ,なし,左,左,196,99,30,1991/10/22,支配下,2軍,Jesse Biddle,Jesse Thomas Biddle,93095155,69,#69,ORI_BUF,93095155
53755153,1073227425,サンタナ,ドミンゴ　サンタナ,プロ(他球団),他球団,998943140,ヤクルト,外野手,右翼手,左翼手,右,右,195,104,29,1992/08/05,支配下,2軍,Domingo Santana,Domingo Alberto Santana,53755153,25,#25,YAK_SWA,53755153
33035155,1073218278,チャトウッド,タイラー　チャトウッド,プロ(他球団),他球団,724939825,ソフトバンク,投手,先発,中継ぎ,右,右,180,90,32,1989/12/16,支配下,2軍,Tyler Chatwood,Tyler Cole Chatwood,33035155,12,#12,HOK_FIG,33035155
33035153,1073218381,エチェバリア,アデイニー　エチェバリア,プロ(他球団),他球団,459227327,ロッテ,内野手,遊撃手,二塁手,右,右,183,90,32,1989/04/15,支配下,2軍,Adeiny Hechavarria,Adeiny Hechavarria Barrera,33035153,55,#55,CHI_MAR,33035153
83985155,1073227539,スミス,バーチ　スミス,プロ(他球団),他球団,458039366,西武,投手,先発,なし,右,右,193,102,31,1990/04/12,支配下,2軍,Burch Smith,Burch Taylor Smith,83985155,54,#54,SAI_LIO,83985155
13015155,1073228257,ターリー,ニック・ターリー,プロ(他球団),他球団,743993386,広島,投手,中継ぎ,なし,左,左,193,104,32,1989/09/11,支配下,2軍,Nik Turley,Nik Turley,13015155,68,#68,,13015155
53055155,1073232221,ヌニエス,レナート・ヌニエス,プロ(他球団),他球団,842851725,日本ハム,内野手,一塁手,指名打者,右,右,185,99,27,1994/04/04,支配下,2軍,Renato Nunez,Renato Rafael Nunez,53055155,5,#5,,53055155
13215155,1073233962,マクブルーム,ライアン・マクブルーム,プロ(他球団),他球団,743993386,広島,内野手,一塁手,指名打者,左,右,190,99,29,1992/04/09,支配下,2軍,Ryan McBroom,Ryan P. McBroom,13215155,10,#10,,13215155
73775151,1073234197,ピープルズ,マイケル　ピープルズ,プロ(他球団),他球団,87807262,横浜,投手,先発,中継ぎ,右,右,196,86,30,1991/09/05,支配下,2軍,Michael Peoples,Scott Michael Peoples,73775151,45,#45,BAY_STA,73775151
73275155,1073235938,ワゲスパック,ジェイコブ　ワゲスパック,プロ(他球団),他球団,473072806,オリックス,投手,先発,なし,右,右,198,106,28,1993/11/05,支配下,2軍,Jacob Waguespack,Jacob Daniel Waguespack,73275155,58,#58,ORI_BUF,73275155
93295155,1073218621,シューメーカー,マット・シューメーカー,プロ(他球団),他球団,1007859055,巨人,投手,先発,,右,右,188,102,35,1986/09/27,支配下,2軍,Matt Shoemaker,Matthew David Shoemaker,93295155,99,#99,YOM_GIA,93295155
61265139,1050187625,又吉　克樹,マタヨシ　カツキ,プロ(他球団),他球団,724939825,ソフトバンク,投手,中継ぎ,なし,右,右,181,74,31,1990/11/04,支配下,2軍,Katsuki Matayoshi,Katsuki Matayoshi,61265139,14,#14,HOK_FIG,61265139
51655130,1073225214,藤井　皓哉,フジイ　コウヤ,プロ(他球団),他球団,724939825,ソフトバンク,投手,先発,左翼手,右,左,183,89,25,1996/07/29,育成,2軍,Koya Fujii,Koya Fujii,51655130,157,#157,HOK_FIG,51655130
31335116,1073217271,岩嵜　翔,イワサキ　ショウ,プロ(他球団),他球団,39194887,中日,投手,中継ぎ,先発,右,右,189,90,32,1989/10/21,支配下,2軍,Sho Iwasaki,Sho Iwasaki,31335116,16,#16,CHU_DRA,31335116
3705155,1073229797,ウォーカー,アダム　ウォーカー,プロ(他球団),他球団,1007859055,巨人,外野手,左翼手,指名打者,右,右,196,104,30,1991/10/18,支配下,2軍,Adam Walker,Adam Brett Walker,3705155,44,#44,YOM_GIA,3705155
41745137,525644910,菅野　智之,スガノ　トモユキ,プロ(他球団),他球団,1007859055,巨人,投手,先発,なし,右,右,186,95,32,1989/10/11,支配下,2軍,Tomoyuki Sugano,Tomoyuki Sugano,41745137,18,#18,YOM_GIA,41745137
81285112,1073217014,平野　佳寿,ヒラノ　ヨシヒサ,プロ(他球団),他球団,473072806,オリックス,投手,抑え,中継ぎ,右,右,186,88,38,1984/03/08,支配下,2軍,Yoshihisa Hirano,Yoshihisa Hirano,81285112,16,#16,ORI_BUF,81285112
41345110,1073217017,金子　千尋,カネコ　チヒロ,プロ(他球団),他球団,842851725,日本ハム,投手,中継ぎ,先発,右,左,180,77,38,1983/11/08,支配下,2軍,Chihiro Kaneko,Chihiro Kaneko,41345110,19,#19,,41345110
51955114,1073217081,坂本　勇人,サカモト　ハヤト,プロ(他球団),他球団,1007859055,巨人,内野手,遊撃手,なし,右,右,186,86,33,1988/12/14,支配下,2軍,Hayato Sakamoto,Hayato Sakamoto,51955114,6,#6,YOM_GIA,51955114
11515137,14691079,小川　泰弘,オガワ　ヤスヒロ,プロ(他球団),他球団,998943140,ヤクルト,投手,先発,なし,右,右,171,80,31,1990/05/16,支配下,2軍,Yasuhiro Ogawa,Yasuhiro Ogawa,11515137,29,#29,YAK_SWA,11515137
91995131,1073217084,長野　久義,チョウノ　ヒサヨシ,プロ(他球団),他球団,743993386,広島,外野手,左翼手,中堅手,右,右,180,85,37,1984/12/06,支配下,2軍,Hisayoshi Chono,Hisayoshi Chono,91995131,5,#5 ,,91995131
1305131,1073217326,大島　洋平,オオシマ　ヨウヘイ,プロ(他球団),他球団,39194887,中日,外野手,中堅手,なし,左,左,176,75,36,1985/11/09,支配下,2軍,Yohei Oshima,Yohei Oshima,1305131,8,#8,CHU_DRA,1305131
61165137,45413799,井納　翔一,イノウ　ショウイチ,プロ(他球団),他球団,1007859055,巨人,投手,先発,なし,右,右,188,94,35,1986/05/01,支配下,2軍,Shoichi Ino,Shoichi Ino,61165137,21,#21,YOM_GIA,61165137
41145139,190500175,石川　歩,イシカワ　アユム,プロ(他球団),他球団,459227327,ロッテ,投手,先発,なし,右,右,186,80,33,1988/04/11,支配下,2軍,Ayumu Ishikawa,Ayumu Ishikawa,41145139,12,#12,CHI_MAR,41145139
61065110,1073217468,能見　篤史,ノウミ　アツシ,プロ(他球団),他球団,473072806,オリックス,投手,中継ぎ,抑え,左,左,180,74,42,1979/05/28,支配下,2軍,Atsushi Nomi,Atsushi Nomi,61065110,26,#26,ORI_BUF,61065110
61565135,1073217561,菊池　涼介,キクチ　リョウスケ,プロ(他球団),他球団,743993386,広島,内野手,二塁手,なし,右,右,171,71,32,1990/03/11,支配下,2軍,Ryosuke Kikuchi,Ryosuke Kikuchi,61565135,33,#33,,61565135
91995139,212254023,祖父江　大輔,ソブエ　ダイスケ,プロ(他球団),他球団,39194887,中日,投手,中継ぎ,先発,右,左,175,75,34,1987/08/11,支配下,2軍,Daisuke Sobue,Daisuke Sobue,91995139,33,#33,CHU_DRA,91995139
